Acetaminophen,"Acetaminophen is also found in many prescription combination drugs, including Butalbital, Endocet, Fioricet, Hycotab, Hydrocet, Hydrocodone bitartrate, Lortab, Percocet, Phenaphen, Sedapap, Tapanol, Tylenol with codeine, Tylox, Ultracet, Vicodin, and Zydone. Acetaminophen is a pain reliever and a fever reducer. ",Applies to the following strengths: 160 mg; 80 mg/0.8 mL; 160 mg/5 mL; 500 mg; 650 mg; 80 mg; 325 mg; 500 mg/15 mL; 120 mg; 120 mg/5 mL; 80 mg/5 mL; 10 mg/mL; 650 mg/25 mL; 80 mg/mL; 500 mg/5 mL; 48 mg/mL
Adderall,Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Adderall is used to treat narcolepsy and attention deficit hyperactivity disorder (ADHD). Adderall may also be used for purposes not listed in this medication guide. ,DEXTROAMPHETAMINE SACCHARATE 1.25mg AMPHETAMINE ASPARTATE MONOHYDRATE 1.25mg DEXTROAMPHETAMINE SULFATE 1.25mg AMPHETAMINE SULFATE 1.25mg
Alprazolam,"Alprazolam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It affects chemicals in the brain that may be unbalanced in people with anxiety. Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. Alprazolam may also be used for purposes not listed in this medication guide. ",Applies to the following strengths: 0.25 mg; 0.5 mg; 1 mg; 2 mg; 3 mg; 0.5 mg/5 mL; 1 mg/mL
Amitriptyline,Amitriptyline is a tricyclic antidepressant. Amitriptyline affects chemicals in the brain that may be unbalanced in people with depression. Amitriptyline is used to treat symptoms of depression. Amitriptyline may also be used for purposes not listed in this medication guide. ,Applies to the following strengths: 10 mg; 50 mg; 75 mg; 100 mg; 25 mg; 150 mg; 10 mg/mL
Amlodipine,Amlodipine is a calcium channel blocker that dilates (widens) blood vessels and improves blood flow. Amlodipine is used to treat chest pain (angina) and other conditions caused by coronary artery disease. Amlodipine is also used to treat high blood pressure (hypertension). Lowering blood pressure may lower your risk of a stroke or heart attack. ,Applies to the following strengths: 10 mg; 2.5 mg; 5 mg
Amoxicillin,"Amoxicillin is a penicillin antibiotic that fights bacteria. Amoxicillin is used to treat many different types of infection caused by bacteria, such as tonsillitis, bronchitis, pneumonia, gonorrhea, and infections of the ear, nose, throat, skin, or urinary tract. Amoxicillin is also sometimes used together with another antibiotic called clarithromycin (Biaxin) to treat stomach ulcers caused by Helicobacter pylori infection. This combination is sometimes used with a stomach acid reducer called lansoprazole (Prevacid). ",Applies to the following strengths: 250 mg; 500 mg; 125 mg/5 mL; 50 mg/mL; 250 mg/5 mL; 125 mg; 200 mg; 400 mg; 875 mg; 200 mg/5 mL; 400 mg/5 mL; 600 mg; 775 mg
Ativan,Ativan (lorazepam) belongs to a group of drugs called benzodiazepines. Lorazepam affects chemicals in the brain that may be unbalanced in people with anxiety. Ativan is used to treat anxiety disorders. Ativan may also be used for purposes not listed in this medication guide. ,LORAZEPAM 2.0mg in 1mL
Atorvastatin,"Atorvastatin is in a group of drugs called HMG CoA reductase inhibitors, or ""statins."" Atorvastatin reduces levels of ""bad"" cholesterol (low-density lipoprotein, or LDL) and triglycerides in the blood, while increasing levels of ""good"" cholesterol (high-density lipoprotein, or HDL). Atorvastatin is used to treat high cholesterol, and to lower the risk of stroke, heart attack, or other heart complications in people with type 2 diabetes, coronary heart disease, or other risk factors. Atorvastatin is used in adults and children who are at least 10 years old. ",Applies to the following strengths: 10 mg; 20 mg; 40 mg; 80 mg
Azithromycin,"Azithromycin is an antibiotic that fights bacteria. Azithromycin is used to treat many different types of infections caused by bacteria, such as respiratory infections, skin infections, ear infections, eye infections, and sexually transmitted diseases. Azithromycin may also be used for purposes not listed in this medication guide. ",Applies to the following strengths: 500 mg; 250 mg; 1 g; 600 mg; 100 mg/5 mL; 200 mg/5 mL; 2 g; 2.5 g
Ciprofloxacin,"Ciprofloxacin is a fluoroquinolone (flor-o-KWIN-o-lone) antibiotic that fights bacteria in the body. It is used to treat different types of bacterial infections, including skin infections, bone and joint infections, respiratory or sinus infections, urinary tract infections, and certain types of diarrhea. It is also used to treat gonorrhea. Ciprofloxacin is also used to treat people who have been exposed to anthrax or certain types of plague. Ciprofloxacin should be used only for infections that cannot be treated with a safer antibiotic. ",Applies to the following strengths: 100 mg; 250 mg; 500 mg; 750 mg; 200 mg/100 mL-5%; 400 mg/200 mL-5%; 250 mg/5 mL; 500 mg/5 mL; 10 mg/mL; 1000 mg
